location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
6237507,Providence Academy ,pm1,3.8,µg/m³,2026-04-22T01:00:00Z,2026-04-22T04:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,pm1,2,µg/m³,2026-04-22T02:00:00Z,2026-04-22T05:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,pm1,1.1,µg/m³,2026-04-22T03:00:00Z,2026-04-22T06:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,pm1,0,µg/m³,2026-04-22T04:00:00Z,2026-04-22T07:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,pm1,1.3,µg/m³,2026-04-22T05:00:00Z,2026-04-22T08:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,pm1,3.5,µg/m³,2026-04-22T06:00:00Z,2026-04-22T09:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,pm1,2.3,µg/m³,2026-04-22T07:00:00Z,2026-04-22T10:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,pm1,1.3,µg/m³,2026-04-22T08:00:00Z,2026-04-22T11:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,pm1,1.3,µg/m³,2026-04-22T09:00:00Z,2026-04-22T12:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,pm1,4.2,µg/m³,2026-04-22T10:00:00Z,2026-04-22T13:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,pm1,3.3,µg/m³,2026-04-22T11:00:00Z,2026-04-22T14:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,pm1,1.6,µg/m³,2026-04-22T12:00:00Z,2026-04-22T15:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,pm1,3.5,µg/m³,2026-04-22T13:00:00Z,2026-04-22T16:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,pm1,3.1,µg/m³,2026-04-22T14:00:00Z,2026-04-22T17:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,pm1,2.1,µg/m³,2026-04-22T15:00:00Z,2026-04-22T18:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,pm1,2.5,µg/m³,2026-04-22T16:00:00Z,2026-04-22T19:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,pm1,5.3,µg/m³,2026-04-22T17:00:00Z,2026-04-22T20:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,pm1,5.2,µg/m³,2026-04-22T18:00:00Z,2026-04-22T21:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,pm1,3.6,µg/m³,2026-04-22T19:00:00Z,2026-04-22T22:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,pm1,5,µg/m³,2026-04-22T20:00:00Z,2026-04-22T23:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,pm1,7.9,µg/m³,2026-04-22T21:00:00Z,2026-04-23T00:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,pm1,5.4,µg/m³,2026-04-22T22:00:00Z,2026-04-23T01:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,pm1,4,µg/m³,2026-04-22T23:00:00Z,2026-04-23T02:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,pm1,6.8,µg/m³,2026-04-23T00:00:00Z,2026-04-23T03:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,pm25,5.8,µg/m³,2026-04-22T01:00:00Z,2026-04-22T04:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,pm25,4.2,µg/m³,2026-04-22T02:00:00Z,2026-04-22T05:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,pm25,3.1,µg/m³,2026-04-22T03:00:00Z,2026-04-22T06:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,pm25,1.2,µg/m³,2026-04-22T04:00:00Z,2026-04-22T07:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,pm25,3.6,µg/m³,2026-04-22T05:00:00Z,2026-04-22T08:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,pm25,6.7,µg/m³,2026-04-22T06:00:00Z,2026-04-22T09:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,pm25,4.8,µg/m³,2026-04-22T07:00:00Z,2026-04-22T10:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,pm25,3.6,µg/m³,2026-04-22T08:00:00Z,2026-04-22T11:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,pm25,3.9,µg/m³,2026-04-22T09:00:00Z,2026-04-22T12:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,pm25,10,µg/m³,2026-04-22T10:00:00Z,2026-04-22T13:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,pm25,7.4,µg/m³,2026-04-22T11:00:00Z,2026-04-22T14:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,pm25,4.3,µg/m³,2026-04-22T12:00:00Z,2026-04-22T15:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,pm25,8,µg/m³,2026-04-22T13:00:00Z,2026-04-22T16:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,pm25,6.9,µg/m³,2026-04-22T14:00:00Z,2026-04-22T17:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,pm25,5.1,µg/m³,2026-04-22T15:00:00Z,2026-04-22T18:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,pm25,5.5,µg/m³,2026-04-22T16:00:00Z,2026-04-22T19:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,pm25,11.5,µg/m³,2026-04-22T17:00:00Z,2026-04-22T20:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,pm25,10.5,µg/m³,2026-04-22T18:00:00Z,2026-04-22T21:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,pm25,6.8,µg/m³,2026-04-22T19:00:00Z,2026-04-22T22:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,pm25,8.9,µg/m³,2026-04-22T20:00:00Z,2026-04-22T23:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,pm25,16.2,µg/m³,2026-04-22T21:00:00Z,2026-04-23T00:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,pm25,10.6,µg/m³,2026-04-22T22:00:00Z,2026-04-23T01:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,pm25,7.4,µg/m³,2026-04-22T23:00:00Z,2026-04-23T02:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,pm25,12.2,µg/m³,2026-04-23T00:00:00Z,2026-04-23T03:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,relativehumidity,51,%,2026-04-22T01:00:00Z,2026-04-22T04:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,relativehumidity,51,%,2026-04-22T02:00:00Z,2026-04-22T05:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,relativehumidity,51,%,2026-04-22T03:00:00Z,2026-04-22T06:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,relativehumidity,52,%,2026-04-22T04:00:00Z,2026-04-22T07:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,relativehumidity,52,%,2026-04-22T05:00:00Z,2026-04-22T08:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,relativehumidity,51,%,2026-04-22T06:00:00Z,2026-04-22T09:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,relativehumidity,50,%,2026-04-22T07:00:00Z,2026-04-22T10:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,relativehumidity,49,%,2026-04-22T08:00:00Z,2026-04-22T11:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,relativehumidity,47,%,2026-04-22T09:00:00Z,2026-04-22T12:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,relativehumidity,48,%,2026-04-22T10:00:00Z,2026-04-22T13:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,relativehumidity,48,%,2026-04-22T11:00:00Z,2026-04-22T14:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,relativehumidity,45,%,2026-04-22T12:00:00Z,2026-04-22T15:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,relativehumidity,44,%,2026-04-22T13:00:00Z,2026-04-22T16:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,relativehumidity,44,%,2026-04-22T14:00:00Z,2026-04-22T17:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,relativehumidity,45,%,2026-04-22T15:00:00Z,2026-04-22T18:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,relativehumidity,47,%,2026-04-22T16:00:00Z,2026-04-22T19:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,relativehumidity,48,%,2026-04-22T17:00:00Z,2026-04-22T20:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,relativehumidity,49,%,2026-04-22T18:00:00Z,2026-04-22T21:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
6237507,Providence Academy ,relativehumidity,50,%,2026-04-22T19:00:00Z,2026-04-22T22:00:00+03:00,Africa/Nairobi,-1.230255,36.881388,,,,AirGradient,AirGradient
